URL;favicon_redirection;request_url_cross_site;iframe;submitting_information_to_email;url_of_anchor_cross_site;number_of_images;security_WOT_status;links_in_tags;ip_address_in_domain;long_url_character;prefix_suffix_in_domain;number_of_subdomain;https_lookup;registration_url_in_WHOIS;domain_registration_length;age_of_domain;result
https://ofertamagazineluiza.com/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://www.ofertamagazineluiza.com/promocao.php;cross site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;< 10;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;tidak memiliki;terdaftar;<= 1 tahun;<= 5 bulan;phishing
https://www.ezbuy.com;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.qoo10.co.id/;on site;>= 22% dan <= 65%;tidak menggunakan;menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;2;memiliki;terdaftar;<= 1 tahun;<= 5 bulan;nonphishing
https://zilingo.com/id-id/;on site;> 65%;menggunakan;menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.8wood.id/;on site;>= 22% dan <= 65%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.pomelofashion.com/id/id/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.reebonz.com/id;on site;< 22%;menggunakan;menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.vmall.com/;on site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.hc360.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.yhd.com;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.gome.com.cn/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
https://www.111.com.cn/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
http://www.okbuy.com/;on site;>= 22% dan <= 65%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
http://www.okhqb.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
http://www.zbird.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
http://www.mbaobao.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;> 67%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://handuyishe.world.tmall.com/;on site;< 22%;menggunakan;menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
https://www.yaofang.cn/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
http://www.lining.com/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
http://www.jqw.com/;on site;< 22%;tidak menggunakan;tidak menggunakan fungsi mailto;< 31%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;<= 1 tahun;> 5 bulan;nonphishing
http://www.xiu.com/;on site;< 22%;menggunakan;tidak menggunakan fungsi mailto;> 67%;> 20;tidak aman;< 17%;tidak memiliki;pendek;tidak menggunakan;>= 0 dan < 2;memiliki;terdaftar;> 1 tahun;> 5 bulan;nonphishing
